age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
23,Male,India,3.5859342012775373,YouTube,2,News,20.643145464521645,0,7.402759605990972,Medium,42.88864382029653
24,Female,India,4.031347572408708,Twitter,3,Content Creation,5.128622092454339,0,6.132287702762845,Medium,18.4741534447622
16,Female,USA,4.667240302975038,Instagram,1,Entertainment,33.22461266727095,0,4.941278970177572,Medium,40.8064126293424
22,Female,India,3.893331422643903,Instagram,4,Entertainment,21.944491605202145,0,7.295003289200058,Medium,44.64332488821146
21,Male,Germany,5.831253999233012,TikTok,3,Entertainment,33.177273261317936,1,4.994357064141,High,49.88055779977316
15,Male,Australia,1.7903236254914754,Instagram,3,Socializing,15.446809814290685,0,8.141242165914038,Low,40.67408747422509
20,Male,Canada,1.7775321224086675,Twitter,1,Entertainment,21.481578497076608,0,8.001334779584246,Low,32.30777735849958
27,Male,USA,4.695603878692644,Twitter,2,Entertainment,33.99641995660641,1,6.744639373957163,Medium,22.27603164110085
24,Female,India,3.5100572851468885,YouTube,5,Entertainment,7.391551538469926,0,7.839521539052685,Medium,60.2442873307013
25,Male,Brazil,3.5183773753617444,Instagram,4,Education,25.26361119780388,1,4.686050070777035,Medium,58.01268181727407
27,Other,India,1.4954475984464797,Instagram,4,Socializing,23.925246532999616,0,9.874828394854918,Low,44.19503526182523
27,Male,USA,4.832161357312844,YouTube,4,Socializing,29.34806571311385,0,5.946726960096922,Medium,58.63044954735341
21,Female,Canada,4.145435809178627,TikTok,2,Socializing,5.0,0,7.495198236099211,Medium,76.78439402200902
13,Male,Germany,2.520030042716157,Instagram,3,Education,28.66706683500509,1,7.23616003328372,Medium,60.50430624383012
14,Female,Germany,4.33584080117898,Instagram,5,Socializing,20.13286301923776,0,7.073360416210088,Medium,34.10658143463488
15,Female,Germany,1.4909395939875605,Twitter,1,Socializing,22.79784475952928,1,8.208909019353085,Low,44.23239026739856
19,Male,India,1.783676169840735,Twitter,2,Entertainment,23.25021590945897,1,8.412708229811965,Low,29.038131606167145
15,Male,India,5.691541708868,YouTube,4,Socializing,16.56086795435724,0,5.729223394576724,High,23.96921366471633
26,Male,USA,0.5,Instagram,3,Entertainment,12.371790528663498,0,7.350204000658032,Low,60.90330279660603
16,Female,India,3.87454734031064,YouTube,5,Education,36.40739113826816,0,7.996420636698021,Medium,17.28207720124935
16,Female,India,6.752785454617492,TikTok,3,Education,24.799310806362477,1,4.123302669557953,High,47.58803612480969
13,Female,Germany,6.49536172116322,Instagram,5,Entertainment,42.99641918934951,1,4.674458635913566,High,69.51517681859512
21,Female,Germany,2.5614406320811565,Instagram,4,News,19.548367995003893,1,7.883701232347941,Medium,37.936892341056456
18,Female,USA,4.6979644458650505,YouTube,3,Entertainment,11.194803109416174,1,5.53160524643534,Medium,66.87102898144136
21,Female,Canada,4.83082479905517,Instagram,4,Content Creation,13.98103724684966,0,5.597863134901292,Medium,48.44708156996636
17,Male,Canada,4.349993921900184,TikTok,4,Entertainment,15.60490536873331,1,6.673086252379904,Medium,18.054191343528203
23,Male,USA,3.0175206904616694,YouTube,5,Entertainment,31.19688138957525,1,7.011563073060118,Medium,19.44588493268118
21,Male,USA,0.5,Instagram,3,Entertainment,24.81042375951641,0,8.206924343798422,Low,68.70050577978523
25,Male,Germany,2.590573958801046,Twitter,2,Education,18.086928279932863,1,8.673890301773824,Medium,40.79550337496321
20,Male,Germany,2.5106622571977537,Instagram,2,News,21.308620081272284,0,7.298544592102369,Medium,26.080633632336568
21,Female,USA,1.965553184362478,TikTok,5,Entertainment,7.636839691303436,0,9.40509242942774,Low,37.49350379625108
26,Male,India,3.7529021973920287,YouTube,2,Socializing,21.21422148569805,0,7.06691821109276,Medium,66.6256154412962
20,Male,Canada,5.163110385783039,TikTok,5,Entertainment,12.28497742068387,1,4.292812516832229,High,44.041873202944494
25,Female,USA,0.5,YouTube,1,Content Creation,31.39891177921036,0,9.915258632047731,Low,54.57418264715728
25,Male,Germany,2.3471235359175204,Instagram,4,Socializing,23.28444627565884,1,8.062002099822559,Low,21.30143326752643
15,Female,UK,3.796218804535724,YouTube,1,Socializing,35.40009772906469,0,4.868055243128033,Medium,56.823777804318496
19,Female,Germany,4.374417520378684,TikTok,5,News,25.45916032915973,0,5.798366471706705,Medium,52.86775320740863
21,Female,Germany,5.513322703071198,Snapchat,3,Entertainment,21.829422553294496,0,4.920586415587289,High,66.63874794559976
17,Female,India,6.168550586410848,Snapchat,2,Education,32.05531302727991,1,4.900450738021677,High,42.97481986697948
22,Male,Germany,3.181460814155197,Instagram,4,Entertainment,21.332385270230304,0,5.714162588087781,Medium,78.14173240784865
15,Male,Canada,4.610508758329702,TikTok,4,Socializing,44.57906695419261,1,5.492082558252919,Medium,0.0
24,Male,Brazil,3.951912913364312,YouTube,4,Entertainment,22.895222414642124,1,6.088880685077722,Medium,54.75387042800923
17,Female,USA,6.132446449178834,Instagram,5,Entertainment,28.390854278558027,1,6.199755602805793,High,21.544354730041977
27,Male,USA,3.6886202199646654,YouTube,2,Entertainment,6.311083289697521,1,8.97318692595005,Medium,81.0413361387636
15,Female,USA,4.422715969853515,TikTok,3,Education,34.746703893404884,0,5.467128801685157,Medium,70.73253607508187
14,Male,UK,6.204423179847775,YouTube,4,Entertainment,12.69737975835316,1,6.749405071971385,High,39.44918025865192
19,Female,India,4.221700449472031,YouTube,5,Entertainment,18.603073531909057,0,7.336599785142593,Medium,36.49729224030589
14,Male,USA,0.8031013958714448,Instagram,4,Entertainment,18.941085332593897,0,8.388956652918456,Low,60.576023291293936
27,Female,Canada,4.813656078822212,Instagram,5,Entertainment,33.135600684647905,1,5.943053958165868,Medium,45.43290371713869
19,Female,India,3.90569234733551,YouTube,1,Education,17.707217363899673,1,7.554164441986809,Medium,40.36106291855904
19,Male,India,5.199873460119727,Snapchat,4,Socializing,27.58843396576863,0,4.453843078973662,High,64.17929139883148
25,Male,Brazil,3.508610954872017,YouTube,5,Education,14.161705797697032,1,7.226991883239305,Medium,34.6821498941925
18,Female,Brazil,2.1572124722266857,Snapchat,4,Socializing,23.788702822389023,1,8.938978625929654,Low,34.81328924244673
13,Male,India,0.5,Instagram,4,Education,25.995885818674317,1,9.740040793823628,Low,47.20425141659104
13,Male,USA,4.5056870179624,Snapchat,2,Education,31.93732535314203,0,7.760245014345799,Medium,19.991820584730775
26,Male,UK,3.044349596239807,TikTok,2,Entertainment,24.843915882390704,0,8.436634373179487,Medium,51.18190091630511
20,Female,UK,2.070096750026233,Instagram,1,News,12.642312632144188,1,6.791896688759561,Low,39.08895379547762
25,Female,Brazil,0.5,YouTube,2,Education,17.930480218413418,1,9.75177062160976,Low,46.73288701663851
21,Male,USA,2.19879782033015,TikTok,1,Socializing,14.66706003483156,0,9.271027002644011,Low,45.42587033692386
17,Male,Brazil,4.51698440122348,Instagram,1,Content Creation,36.25899936446705,1,6.663659176437533,Medium,59.32594332023869
27,Female,India,5.533275019058051,TikTok,3,Entertainment,18.43393556680933,1,5.622485050475679,High,39.81021230438945
15,Female,Brazil,3.17048710187211,YouTube,4,Entertainment,15.310267579834424,1,5.682280509369886,Medium,17.20004070539806
19,Female,UK,3.2636343246135837,Twitter,1,Socializing,11.655109535538063,0,5.468693729812311,Medium,71.64293484340249
17,Male,Australia,6.152606253720705,TikTok,3,Entertainment,33.32231601107281,1,4.890029496322309,High,32.428622013079014
22,Male,India,3.6607893925626303,Instagram,1,Socializing,14.495836253804796,0,5.595567202330964,Medium,38.41130822090248
16,Female,Germany,3.456417016104252,Twitter,1,Education,27.9569998044128,0,7.198983572311177,Medium,37.10469484559842
13,Female,UK,5.014962892593648,TikTok,3,News,9.53201204990972,1,4.528562465784008,High,28.829360772728677
23,Male,India,3.810221138389992,TikTok,5,Education,20.847355553589345,1,6.617230584414526,Medium,7.114407272846876
23,Male,India,3.810290979712824,Instagram,3,News,45.82789091549845,1,8.02112901128626,Medium,43.53746613941561
23,Female,Germany,4.724965070893092,Snapchat,5,Socializing,19.727545464952303,1,6.809418523513922,Medium,50.00673621413508
21,Male,USA,5.433788386582735,Snapchat,5,Entertainment,44.66278331245129,0,6.519339305715837,High,55.16548512785299
19,Female,Australia,5.999535898461287,Twitter,3,Content Creation,11.46414622330682,0,3.906000749662645,High,30.776908599252916
16,Male,USA,3.272959952541753,YouTube,2,Entertainment,36.47400894461389,1,7.226764704057305,Medium,50.38934760726495
16,Female,India,4.372926693648899,Twitter,4,Entertainment,22.98207809081028,1,6.9877069325644845,Medium,27.64891254105075
23,Male,USA,3.775320227050849,TikTok,5,Entertainment,35.86017380914025,1,7.312336520080032,Medium,24.415650992562384
18,Female,Canada,1.7790883036158938,Instagram,2,Entertainment,16.169189536942422,1,9.46733284807821,Low,50.43097674760149
13,Male,Germany,4.739785900606147,Snapchat,1,Entertainment,29.295176309139567,0,5.783873210820721,Medium,46.590847926072456
13,Male,India,4.414651727020857,YouTube,5,Education,24.6161363142262,0,3.674890151054569,Medium,77.66742879396904
16,Female,UK,3.1850621310074945,YouTube,3,News,36.63702091218981,0,6.781475917757378,Medium,42.69593276405387
25,Male,USA,1.1206879224956747,YouTube,1,Entertainment,34.78127827585874,0,8.980607940894643,Low,27.20770546016669
13,Female,India,6.157368355362138,Twitter,5,News,23.03267846768501,0,5.320749400106996,High,34.51582132390144
23,Male,USA,5.169374479129557,Instagram,5,Entertainment,22.833061303432174,0,6.051430636817032,High,35.79636599777765
15,Male,Germany,3.112766347859928,TikTok,4,Education,30.7233307889462,1,7.611670642091939,Medium,63.48034033314303
27,Male,India,1.612826021056578,YouTube,5,Socializing,20.804096262024128,1,8.889701415101854,Low,51.58462910214159
21,Male,Canada,4.878460546081097,YouTube,2,Education,26.83875608653876,1,4.085545619254198,Medium,36.2693556389908
19,Female,Brazil,4.092179389886844,TikTok,5,Entertainment,19.17311044946541,1,7.041976448402856,Medium,14.634632313558225
21,Female,USA,2.111782711690239,YouTube,2,Entertainment,21.62581321194604,1,8.490596022130257,Low,72.61118821151737
17,Male,India,2.4546697625752287,TikTok,1,Education,29.07818032584697,0,7.282077553789964,Low,19.19298491496487
15,Male,India,5.877842284665485,YouTube,2,Entertainment,28.090086526355037,1,4.96721471527977,High,44.2800573407716
17,Female,Canada,4.494768170410554,YouTube,5,Entertainment,24.35015314267911,1,6.720947457674985,Medium,24.480589487504737
23,Male,India,3.693408774795293,TikTok,3,Entertainment,26.530722297033847,1,8.14856004143313,Medium,37.606220861876025
22,Male,India,3.542838808300738,TikTok,2,Socializing,22.1852177443983,1,5.895693896065501,Medium,13.631042393202923
26,Female,India,3.738293709209745,Instagram,5,Entertainment,30.501656905721926,0,8.267140263433461,Medium,45.79038454755066
27,Female,Germany,3.2425665385455384,Instagram,5,Socializing,20.75170823670113,1,7.3615929763092,Medium,50.50781261958893
21,Female,Germany,3.561611891776697,TikTok,2,Entertainment,22.576740221335324,1,8.479238963888927,Medium,6.355107725354955
24,Female,UK,0.5,Snapchat,3,Education,23.87040880916737,0,10.0,Low,35.423559208361674
14,Female,India,0.5,Instagram,1,Entertainment,28.483153744676123,1,9.19304724000547,Low,55.14248797835151
16,Female,Canada,2.2746035165412906,Instagram,3,Education,25.637509449812583,0,7.206882374811094,Low,80.27298259718236
26,Female,India,2.4076283653582164,Twitter,5,Entertainment,34.9495689809518,0,10.0,Low,49.38709191221928
18,Female,USA,6.073486625938237,YouTube,4,Education,26.5247365397588,0,5.048947779050164,High,27.949558830831343
13,Male,Canada,4.81343677309652,TikTok,5,Education,36.382404285923926,1,6.7315423271709625,Medium,24.988900028628684
14,Female,India,2.943277484714377,Twitter,3,Socializing,26.50739262383981,1,9.002386751182607,Medium,12.540634211809667
24,Male,USA,4.222246645044945,YouTube,4,Socializing,27.872608610325283,1,5.982181081790139,Medium,45.11554701456822
16,Male,UK,2.7300648140278403,YouTube,2,Socializing,33.53527493822511,1,6.230345134507926,Medium,72.36593209163532
13,Male,India,3.3486151062608136,TikTok,1,Education,22.40945815291789,1,8.376027516801646,Medium,23.50406288420597
26,Male,Canada,1.854869691145514,TikTok,4,Education,26.706186260701084,0,8.946146800827107,Low,41.48779042767964
18,Female,India,2.2123040307915263,TikTok,2,Entertainment,30.740096267664686,1,9.703015683790028,Low,46.28682735190456
24,Female,Australia,5.890762727840321,Twitter,4,Entertainment,21.591095343661596,0,3.188339171707526,High,87.06134065497156
14,Male,India,2.1307698761575287,Twitter,4,Entertainment,36.04910731753266,1,7.384433021606982,Low,29.449937596166272
15,Female,India,4.841885015817408,YouTube,3,Entertainment,29.42300495769906,1,6.104676575031721,Medium,23.985881300944133
20,Female,Germany,6.059529158289839,Instagram,4,Socializing,12.230623797463506,0,6.398467564464148,High,75.93128122507241
19,Male,India,2.5690105219373045,YouTube,5,Entertainment,23.38694781410448,0,8.13722195086858,Medium,52.10706859839867
15,Female,India,4.836393370320025,Snapchat,3,Entertainment,25.065807575132517,0,5.898326033150584,Medium,23.950963114000498
18,Female,Brazil,4.611329348279783,TikTok,2,Entertainment,29.398052593178413,1,5.340096051848656,Medium,56.00060743485308
22,Male,Canada,3.1072660423519225,TikTok,5,Entertainment,22.518051264039062,0,9.040613571019826,Medium,49.0772950387343
17,Female,India,3.1146982201868982,TikTok,1,Education,20.993518304972245,1,7.670870182895796,Medium,29.83962131355573
19,Female,India,1.32715973960739,TikTok,5,Entertainment,28.476709186584685,0,9.628496763951356,Low,29.3281506803298
18,Female,India,5.450512182693664,Instagram,5,Entertainment,16.71089401079392,0,4.883513023047252,High,16.794532455522212
20,Male,UK,5.575721452049798,TikTok,3,Education,9.517087325400182,1,5.433828539417932,High,27.531643510888333
27,Male,India,1.845910391118312,YouTube,3,Content Creation,25.0778298412854,1,9.442835101881824,Low,20.245316904382623
19,Other,USA,4.26414664540247,YouTube,2,Socializing,29.35450359416699,0,5.9141561408584815,Medium,46.81521141546376
20,Female,Brazil,3.8353138349247367,YouTube,4,Entertainment,47.44955758306437,0,8.674914254831265,Medium,27.031374184297583
26,Female,Canada,2.778566689135729,TikTok,1,Education,35.65743806780085,0,6.889450151063479,Medium,22.047033486058154
21,Female,UK,0.5,Snapchat,5,Entertainment,8.793666514092763,0,9.079511572178385,Low,23.931331344381125
18,Male,India,3.959224564714408,YouTube,2,Education,42.929376714085805,0,6.240487677316813,Medium,34.82683357386185
26,Female,UK,2.778042620530789,YouTube,5,Education,18.038927208171923,1,8.370706165845574,Medium,30.29910161355364
15,Female,Canada,1.6594363241845462,Instagram,2,Socializing,23.06903271180067,0,7.932747928058136,Low,31.585909343228604
18,Male,Germany,3.741200266816587,TikTok,4,Education,25.84513075834217,1,7.335840590130549,Medium,7.623642780572041
15,Other,India,4.060435985637431,Instagram,1,Education,24.966650724941573,0,5.338150184941208,Medium,27.3782809294618
21,Female,UK,0.7032608415457986,YouTube,1,Education,19.19991798971712,1,7.857762130623528,Low,50.000976142996414
23,Female,India,6.790596001619077,YouTube,5,Socializing,17.323108979257498,0,4.7433634062361,High,38.20940246269247
23,Female,Canada,1.3368389868138593,Instagram,1,Entertainment,32.275734718753945,0,8.78591713499434,Low,67.33876407071115
20,Female,Germany,3.8336500952835904,YouTube,1,Socializing,34.06837443526514,1,5.678525624712363,Medium,51.903074689529504
27,Female,Germany,4.99570820223909,Instagram,3,Socializing,19.30278293711165,1,5.770624245605596,Medium,32.042501667295376
14,Male,Canada,3.3992500614674124,TikTok,1,Entertainment,28.231920550726034,0,6.363915904302349,Medium,26.689880614464272
26,Female,India,4.067168851700012,Instagram,4,Education,26.86289052155861,1,5.952662486697114,Medium,59.53054507842344
26,Male,Australia,2.476148115412677,Instagram,2,Entertainment,24.323546101219527,1,6.718188881748891,Low,22.06270394866149
14,Female,USA,2.66370672061714,YouTube,2,Education,20.986741128798023,0,8.593030738459527,Medium,10.448744890651188
18,Female,India,4.935409405194067,TikTok,4,Socializing,25.491820201909547,1,6.236556477293338,Medium,81.48571876704342
18,Female,USA,3.5879403520242263,YouTube,3,Entertainment,8.388363561115135,1,6.396294551715168,Medium,50.62182639388743
13,Female,India,4.127171302238326,YouTube,4,Education,21.92032277397784,1,7.03077147562784,Medium,22.9612240071243
19,Male,India,4.187584889749999,YouTube,3,Entertainment,41.411310064040194,1,6.031065659380682,Medium,82.52315620338027
18,Other,India,2.3097099785319037,TikTok,5,Entertainment,23.07233805624008,1,6.296994443057876,Low,50.51986797148166
15,Male,Germany,5.220051143982483,Instagram,2,Socializing,7.459304307677545,1,6.233218987644797,High,11.264675297033456
15,Male,USA,2.332436537840026,YouTube,1,Content Creation,24.62266584118222,0,9.268776446023905,Low,47.19642510345778
21,Male,Germany,0.5,TikTok,5,Entertainment,37.75774311525767,0,9.884438152871985,Low,43.31250254973187
27,Male,India,3.645267491493738,TikTok,2,Entertainment,11.016353790526017,1,6.825877609507453,Medium,47.45457183784794
18,Female,Brazil,4.05643373063928,YouTube,3,Education,30.595915344456017,0,7.3593936987731965,Medium,12.146543144079724
23,Female,Germany,5.21498063737276,Instagram,3,Entertainment,11.282924041142016,1,5.75169130082732,High,34.87123156627656
20,Female,USA,2.121773684727565,Twitter,2,Education,38.61076458971504,1,5.840982481412631,Low,1.3163194010015502
22,Male,Germany,2.52466332974894,TikTok,5,Entertainment,8.030232937965607,1,8.907568310734389,Medium,44.66564824561491
22,Female,Canada,2.648258988799889,Instagram,5,Entertainment,42.8175882717943,0,7.635257515950342,Medium,26.96701116424984
14,Female,USA,1.9387799202552076,YouTube,2,News,26.043329889399157,1,7.6398328683419905,Low,36.52039556153492
22,Female,Canada,3.027263032690396,Instagram,2,Entertainment,35.80206781139085,1,7.095795558166188,Medium,12.329080667336822
25,Male,India,2.9757351068225937,TikTok,2,Entertainment,27.034298425627547,0,6.760644375605243,Medium,24.955349392723672
20,Female,India,5.5494264518195,Instagram,4,Entertainment,25.40027894719114,1,5.343448880158754,High,52.4882738796169
19,Male,Brazil,4.93963487071628,Instagram,1,Socializing,11.925581810323134,1,5.540781242716051,Medium,44.058663079266026
21,Male,India,3.474320984748351,YouTube,5,Education,21.76642855371694,1,7.791228862890669,Medium,62.92605744956825
16,Female,UK,2.451194528926924,YouTube,4,News,37.38115432272532,0,8.925201719417132,Low,37.57861680517853
18,Female,India,0.7132450346187111,Instagram,5,Entertainment,28.241775551102176,0,9.783905661783873,Low,40.18979192538991
22,Female,Brazil,3.942374769224153,YouTube,3,Entertainment,22.319047735813776,0,7.263218452424054,Medium,21.259139185287545
19,Female,India,5.344143034352133,TikTok,5,Socializing,22.27723918506965,1,5.916452151054688,High,45.46672211998074
26,Female,USA,1.8517450517968688,Instagram,1,Education,20.663613934165102,1,8.97955623067756,Low,33.99392841081918
20,Female,Canada,3.018028551837008,Instagram,4,Socializing,12.44037239286456,0,8.767858487425963,Medium,52.5197037074972
13,Male,India,4.259432967994146,Snapchat,3,Socializing,12.870425252323589,0,6.358644621774141,Medium,72.70295488647126
19,Male,Brazil,3.4404717736613124,Instagram,4,Education,32.425889017049,1,5.937525611371528,Medium,51.257655076199725
27,Female,Germany,2.026212806018978,Instagram,5,Education,24.77983042247924,1,7.786178256897789,Low,23.697817146249832
27,Female,Brazil,4.2934225107915465,TikTok,3,Entertainment,30.20506886042881,1,6.897762967094502,Medium,13.05493143883522
17,Female,USA,1.0191891879605874,Instagram,1,Entertainment,31.653480320724874,1,9.493154884764284,Low,11.473442786662794
17,Female,India,2.4426105738598283,Instagram,3,Socializing,7.577995839738367,0,8.520934433669373,Low,70.91559926804187
16,Male,India,0.5,TikTok,1,Socializing,21.549845044782696,1,10.0,Low,44.04225236583694
20,Male,India,2.003781241366215,Twitter,1,Entertainment,40.38871995988691,1,7.991628450312442,Low,39.96287078059048
19,Female,UK,6.068437966070684,Instagram,5,Socializing,9.77270937451353,0,5.715921697712256,High,49.01261244804821
14,Other,India,4.789301256426768,Instagram,2,Entertainment,27.206988775555757,0,5.981603206263365,Medium,46.65158321445903
19,Male,UK,4.2093251452982,Instagram,2,Socializing,28.370152421960185,1,4.5684295973207325,Medium,77.50018278082777
25,Female,India,2.9906808092795982,TikTok,3,Entertainment,17.94526779989907,1,6.685355686203077,Medium,63.94810304268326
16,Male,Australia,3.937960957611166,Twitter,2,Entertainment,35.070450135083064,0,6.379448776575649,Medium,20.880283754039304
23,Male,UK,0.9173279665138874,TikTok,5,Entertainment,31.787354719340676,0,8.810984115277224,Low,55.9776096528545
19,Male,USA,2.8071156650981166,TikTok,5,Socializing,33.32510200497653,1,8.573323419074782,Medium,10.801582969485718
21,Male,Germany,4.699531323270914,TikTok,3,Entertainment,26.616500144092598,1,5.7688953356303445,Medium,55.05438972793195
14,Male,UK,3.9279408659038473,TikTok,1,News,13.182466481615254,0,6.244256540559868,Medium,43.368535684068064
24,Female,Canada,2.226833084023718,Snapchat,4,Socializing,11.051722969968084,1,8.824938666376077,Low,20.05681864958571
24,Male,Germany,2.709174543759725,Instagram,5,Socializing,16.763422899896902,1,8.318504614257108,Medium,38.79200405974057
19,Female,USA,3.7184510873789183,TikTok,3,Entertainment,25.24428089592064,1,5.906476642525898,Medium,0.0
14,Other,Germany,4.40680500917435,Snapchat,3,Education,33.572915259467294,1,7.410779848834814,Medium,15.747951360702649
18,Male,India,5.085888762267958,Instagram,4,Entertainment,31.382707708802737,0,7.125520914210719,High,42.54981953084851
24,Male,USA,3.6515326352100415,Instagram,2,Socializing,25.28343295176517,0,7.272138856938191,Medium,26.318041194722497
23,Female,Canada,3.589433138805647,Twitter,1,Socializing,35.95979867115126,0,7.927195210499255,Medium,56.09895338868888
23,Male,India,3.699797980721856,TikTok,1,News,12.01422146154582,1,8.514382039316986,Medium,61.90838086533373
20,Male,USA,5.465612843895315,Snapchat,3,Socializing,17.655813898385894,0,4.793540049949372,High,32.41593333160298
18,Male,USA,5.08933025104178,YouTube,3,Socializing,31.62619960539958,0,6.187418784803883,High,13.350938496085703
16,Female,UK,6.428111236673711,YouTube,3,Entertainment,28.984806197500195,1,5.358607375646161,High,29.39648240171658
17,Female,Canada,5.550441700721912,Instagram,5,Socializing,20.595877479858256,0,4.324306905271849,High,50.80068890299332
13,Female,India,3.0523647475945497,YouTube,4,Socializing,21.77729052224415,1,6.867250467769467,Medium,0.3584493232103867
13,Female,Canada,3.469372662252531,YouTube,3,Entertainment,29.92943841122983,1,8.842566255113923,Medium,46.6832409034238
20,Male,USA,6.459774219248036,Instagram,4,Socializing,19.030954102763776,1,4.6860206949240695,High,19.03092964729486
24,Female,India,1.52863544042986,Instagram,5,Socializing,18.240344552625512,1,8.120749238611202,Low,41.40302468298896
17,Female,India,3.319094523495272,Instagram,5,Socializing,38.6196570448849,1,6.034078611347991,Medium,0.0
19,Male,Australia,3.5951386463957737,Instagram,5,Socializing,8.332197758037282,1,8.216919629688949,Medium,10.86365124464703
14,Male,UK,3.156811829021758,YouTube,2,Entertainment,16.554154530856128,0,7.472771984398635,Medium,8.174634781780433
24,Male,USA,4.329734548978104,YouTube,2,Education,38.05465831466472,0,3.690440734041875,Medium,55.691490683405135
15,Male,India,3.582064400704516,Instagram,2,Entertainment,35.02045847125559,0,7.641466937766577,Medium,69.49109610067602
19,Male,Brazil,1.2916250791903718,Instagram,1,Entertainment,17.379042134179322,1,9.65257578488379,Low,45.05995389896022
14,Male,USA,2.9795373337086573,Instagram,4,Socializing,18.270751959484027,0,7.889331945891131,Medium,36.42207276760277
27,Male,Australia,1.9935152004633288,TikTok,3,Education,12.54330133658966,1,7.254323918746899,Low,0.0
15,Male,Brazil,2.850928432838579,TikTok,2,News,41.09453986428128,0,6.564693295672068,Medium,61.88047997026773
19,Male,Canada,1.95967179469827,TikTok,1,Socializing,36.117225521536135,1,9.21423530995619,Low,30.76847253965049
22,Male,Germany,6.189880135893526,TikTok,4,Education,25.24872509857613,1,4.714770005493625,High,41.99600273779176
25,Female,India,5.333432199867941,YouTube,4,Entertainment,37.41148401330641,1,4.427309234029408,High,56.09847484846941
26,Male,India,3.6471373420080258,TikTok,2,Socializing,11.911040633268112,0,6.163307168246899,Medium,23.03563408018941
22,Female,India,2.8016541690614285,Instagram,2,News,27.00630910694785,1,7.574088924189206,Medium,52.42493582542603
13,Male,Germany,3.8333565671416174,Twitter,4,Socializing,34.45788190763661,1,6.938674775610359,Medium,37.29040861732883
24,Female,India,4.658662480212182,Snapchat,1,News,23.58832054535348,0,5.357005317389357,Medium,57.200686798904805
19,Female,USA,4.193113240011362,Snapchat,2,Entertainment,26.59717709747645,1,7.305082291150999,Medium,32.82003813983735
17,Male,India,2.0965976677704994,TikTok,2,Education,16.74213904099201,0,7.32516684802914,Low,45.62932304155093
16,Male,USA,2.637180876773848,TikTok,4,Socializing,12.204312335373988,1,8.318010685407524,Medium,31.41219847791173
16,Female,UK,3.290824475976661,YouTube,1,Socializing,5.0,1,7.644533161982277,Medium,39.52460176588151
25,Female,USA,2.4573941001752773,Snapchat,4,Socializing,24.4614495406446,1,7.838585099275198,Low,39.05380324251747
23,Female,Germany,2.0642671221009365,YouTube,2,Socializing,25.36065935511704,0,5.971316475444429,Low,58.25720976589514
27,Male,USA,2.512561074983835,TikTok,2,Socializing,27.228227912304263,1,7.852051419884656,Medium,45.3392482260703
13,Male,India,5.074577304687234,Instagram,2,Entertainment,9.30062684954598,1,7.74136852885835,High,37.15629319324414
20,Female,UK,4.392364603035577,TikTok,1,Education,28.344537795424145,1,6.379060295608214,Medium,26.89779159189039
24,Female,Germany,6.17967689406243,TikTok,1,Education,13.669294233466417,0,4.581357504042611,High,45.75186870838574
